Vertice, In, Out
(484,111,26)
(485,6,6)
(486,15,10)
(487,2,5)
(488,2,3)
(489,10,23)
(490,5,6)
(491,1,5)
(492,3,6)
(493,6,16)
(494,24,24)
(495,3,5)
(496,2,10)
(497,2,2)
(498,7,12)
(499,5,16)
(500,2,3)
(501,74,1)
(502,2,3)
(503,3,2)
(504,3,5)
(505,6,2)
(506,5,8)
(507,0,1)
(508,3,3)
(509,3,4)
(510,2,3)
(511,6,2)
(512,3,3)
(513,3,4)
(514,4,3)
(515,3,5)
(516,5,7)
(517,1,18)
(518,3,15)
(519,0,1)
(520,0,2)
(521,0,1)
(522,2,2)
(523,1,2)
(524,1,1)
(525,3,4)
(526,2,6)
(527,2,1)
(528,1,4)
(529,79,45)
(530,0,16)
(531,1,8)
(532,0,1)
(533,1,2)
(534,2,6)
(535,2,6)
(536,6,6)
(537,1,10)
(538,1,10)
(539,5,6)
(540,2,5)
(541,3,2)
(542,2,2)
(543,0,1)
(544,2,3)
(545,17,5)
(546,3,3)
(547,5,5)
(548,3,5)
(549,15,34)
(550,29,29)
(551,35,52)
(552,10,6)
(553,4,1)
(554,1,10)
(555,4,10)
(556,2,2)
(557,6,17)
(558,2,4)
(559,1,3)
(560,4,8)
(561,1,15)
(562,3,4)
(563,2,32)
(564,2,6)
(565,2,2)
(566,6,2)
(567,1,16)
(568,1,5)
(569,3,7)
(570,18,18)
(571,17,17)
(572,1,5)
(573,2,10)
(574,15,34)
(575,6,8)
(576,4,4)
(577,3,2)
(578,1,43)
(579,3,4)
(580,2,5)
(581,2,2)
(582,3,5)
(583,3,4)
(584,23,20)
(585,2,2)
(586,3,3)
(587,4,5)
(588,2,7)
(589,1,1)
(590,12,12)
(591,4,3)
(592,1,5)
(593,3,4)
(594,3,18)
(595,5,5)
(596,2,2)
(597,2,5)
(598,5,45)
(599,2,2)
(600,2,2)
(601,1,5)
(602,54,6)
(603,11,20)
(604,0,2)
(605,2,2)
(606,2,4)
(607,1,2)
(608,2,3)
(609,1,16)
(610,1,7)
(611,2,4)
(612,11,20)
(613,1,18)
(614,4,6)
(615,4,2)
(616,3,10)
(617,5,26)
(618,3,3)
(619,4,6)
(620,11,28)
(621,3,5)
(622,5,2)
(623,11,9)
(624,4,1)
(625,2,31)
(626,0,72)
(627,2,3)
(628,2,5)
(629,1,5)
(630,2,3)
(631,5,6)
(632,3,3)
(633,1,1)
(634,2,2)
(635,1,6)
(636,1,30)
(637,2,3)
(638,15,34)
(639,1,2)
(640,2,4)
(641,2,7)
(642,2,4)
(643,4,6)
(644,4,4)
(645,2,3)
(646,2,14)
(647,15,10)
(648,8,6)
(649,5,8)
(650,3,3)
(651,3,6)
(652,13,20)
(653,3,3)
(654,2,2)
(655,2,6)
(656,1,14)
(657,2,3)
(658,1,8)
(659,2,1)
(660,1,10)
(661,4,4)
(662,2,2)
(663,0,1)
(664,2,6)
(665,1,1)
(666,20,19)
(667,0,2)
(668,2,10)
(669,1,2)
(670,15,10)
(671,48,6)
(672,1,2)
(673,2,2)
(674,4,4)
(675,0,7)
(676,2,3)
(677,4,9)
(678,0,16)
(679,3,4)
(680,1,5)
(681,7,3)
(682,2,5)
(683,3,4)
(684,1,1)
(685,2,4)
(686,3,7)
(687,2,31)
(688,0,2)
(689,6,2)
(690,0,2)
(691,0,2)
(692,0,16)
(693,4,5)
(694,4,4)
(695,11,12)
(696,0,1)
(697,2,6)
(698,1,5)
(699,11,12)
(700,2,36)
(701,3,4)
(702,1,5)
(703,15,20)
(704,1,3)
(705,2,2)
(706,1,5)
(707,1,10)
(708,3,2)
(709,2,2)
(710,2,1)
(711,2,6)
(712,2,3)
(713,1,6)
(714,2,1)
(715,2,2)
(716,1,1)
(717,4,3)
(718,2,3)
(719,1,11)
(720,11,20)
(721,2,3)
(722,3,5)
(723,4,6)
(724,2,34)
(725,1,10)
(726,3,5)
(727,3,4)
(728,2,6)
(729,2,1)
(730,1,2)
(731,1,2)
(732,2,3)
(733,0,2)
(734,16,17)
(735,2,4)
(736,3,4)
(737,2,5)
(738,2,5)
(739,6,8)
(740,1,4)
(741,2,4)
(742,1,18)
(743,0,6)
(744,3,3)
(745,2,6)
(746,2,2)
(747,1,13)
(748,3,2)
(749,4,6)
(750,1,1)
(751,7,2)
(752,1,10)
(753,4,4)
(754,42,8)
(755,1,3)
(756,1,8)
(757,4,3)
(758,2,5)
(759,1,4)
(760,2,2)
(761,3,6)
(762,0,16)
(763,0,1)
(764,1,3)
(765,1,1)
(766,2,5)
(767,17,33)
(768,5,9)
(769,1,4)
(770,1,18)
(771,0,2)
(772,2,5)
(773,1,5)
(774,3,4)
(775,5,2)
(776,4,4)
(777,14,35)
(778,2,2)
(779,8,12)
(780,2,10)
(781,3,1)
(782,2,5)
(783,3,5)
(784,4,10)
(785,1,1)
(786,13,1)
(787,1,24)
(788,2,5)
(789,6,2)
(790,4,6)
(791,2,3)
(792,1,7)
(793,15,10)
(794,6,2)
(795,10,10)
(796,1,3)
(797,1,1)
(798,12,5)
(799,18,35)
(800,2,4)
(801,2,5)
(802,4,3)
(803,3,2)
(804,2,3)
(805,4,6)
(806,2,2)
(807,2,4)
(808,2,4)
(809,6,4)
(810,1,5)
(811,4,3)
(812,4,6)
(813,5,5)
(814,2,2)
(815,4,3)
(816,3,2)
(817,9,3)
(818,4,7)
(819,2,3)
(820,3,4)
(821,6,40)
(822,2,19)
(823,2,5)
(824,3,4)
(825,2,3)
(826,19,19)
(827,6,2)
(828,1,5)
(829,1,4)
(830,5,3)
(831,22,19)
(832,2,3)
(833,2,2)
(834,4,4)
(835,3,3)
(836,3,6)
(837,1,7)
(838,2,2)
(839,4,3)
(840,1,2)
(841,3,2)
(842,10,3)
(843,6,2)
(844,2,5)
(845,2,10)
(846,7,11)
(847,5,3)
(848,0,1)
(849,0,101)
(850,5,6)
(851,2,5)
(852,4,18)
(853,1,1)
(854,4,4)
(855,2,2)
(856,10,32)
(857,1,14)
(858,1,2)
(859,2,3)
(860,0,3)
(861,1,5)
(862,27,19)
(863,2,8)
(864,2,5)
(865,1,8)
(866,27,17)
(867,5,1)
(868,6,2)
(869,1,2)
(870,2,2)
(871,1,16)
(872,1,1)
(873,2,14)
(874,3,4)
(875,15,19)
(876,4,6)
(877,3,4)
(878,1,2)
(879,2,2)
(880,6,2)
(881,33,4)
(882,3,2)
(883,4,4)
(884,3,5)
(885,4,4)
(886,165,33)
(887,2,2)
(888,1,19)
(889,5,4)
(890,3,6)
(891,98,16)
(892,3,2)
(893,1,10)
(894,2,5)
(895,1,1)
(896,2,5)
(897,2,1)
(898,2,5)
(899,3,3)
(900,0,7)
(901,2,6)
(902,3,8)
(903,2,36)
(904,2,6)
(905,1,4)
(906,1,18)
(907,4,5)
(908,4,2)
(909,1,1)
(910,1,3)
(911,3,2)
(912,8,4)
(913,0,99)
(914,0,1)
(915,0,2)
(916,8,10)
(917,22,19)
(918,2,6)
(919,7,18)
(920,33,11)
(921,1,4)
(922,2,10)
(923,5,5)
(924,3,5)
(925,241,18)
(926,1,5)
(927,7,7)
(928,1,1)
(929,4,3)
(930,2,5)
(931,2,1)
(932,2,4)
(933,2,4)
(934,12,23)
(935,4,22)
(936,2,3)
(937,2,3)
(938,4,6)
(939,3,2)
(940,3,6)
(941,27,2)
(942,2,5)
(943,2,4)
(944,4,6)
(945,2,6)
(946,4,3)
(947,3,5)
(948,5,27)
(949,1,6)
(950,2,4)
(951,4,15)
(952,9,7)
(953,12,2)
(954,18,28)
(955,3,5)
(956,2,2)
(957,0,1)
(958,2,7)
(959,17,5)
(960,0,16)
(961,3,2)
(962,4,3)
(963,4,6)
(964,1,122)
(965,0,1)
(966,4,7)
(967,1,4)
(968,1,5)
(969,1,1)
(970,2,7)
(971,2,2)
(972,1,9)
(973,2,16)
(974,16,16)
(975,4,6)
(976,0,15)
(977,12,17)
(978,0,2)
(979,1,14)
(980,2,5)
(981,2,2)
(982,1,19)
(983,0,6)
(984,5,4)
(985,2,13)
(986,2,3)
(987,2,5)
(988,4,8)
(989,10,15)
(990,1,3)
(991,1,4)
(992,2,5)
(993,1,2)
(994,2,3)
(995,2,4)
(996,3,4)
(997,2,5)
(998,2,2)
(999,2,2)
(1000,1,2)
(1001,3,4)
(1002,3,3)
(1003,1,5)
(1004,2,5)
(1005,2,3)
(1006,4,6)
(1007,3,4)
(1008,1,1)
(1009,5,5)
(1010,2,2)
(1011,7,2)
(1012,4,4)
(1013,7,9)
(1014,2,4)
(1015,4,5)
(1016,2,5)
(1017,2,1)
(1018,4,3)
(1019,0,1)
(1020,1,5)
(1021,10,10)
(1022,3,4)
(1023,4,6)
(1024,8,10)
(1025,2,2)
(1026,2,5)
(1027,6,9)
(1028,2,3)
(1029,4,5)
(1030,3,3)
(1031,0,1)
(1032,39,12)
(1033,2,16)
(1034,0,7)
(1035,1,8)
(1036,7,3)
(1037,6,6)
(1038,4,6)
(1039,2,10)
(1040,1,23)
(1041,6,2)
(1042,2,5)
(1043,3,7)
(1044,4,10)
(1045,1,1)
(1046,20,20)
(1047,3,3)
(1048,0,7)
(1049,1,19)
(1050,4,6)
(1051,14,30)
(1052,6,33)
(1053,0,6)
(1054,0,1)
(1055,0,2)
(1056,1,1)
(1057,4,4)
(1058,5,2)
(1059,1,55)
(1060,17,22)
(1061,2,9)
(1062,5,8)
(1063,2,3)
(1064,1,2)
(1065,6,4)
(1066,1,2)
(1067,1,3)
(1068,1,5)
(1069,2,31)
(1070,3,18)
(1071,5,6)
(1072,3,5)
(1073,12,15)
(1074,4,2)
(1075,3,5)
(1076,2,3)
(1077,0,7)
(1078,1,5)
(1079,4,2)
(1080,0,1)
(1081,7,6)
(1082,0,6)
(1083,52,1)
(1084,1,1)
(1085,2,3)
(1086,5,3)
(1087,23,20)
(1088,42,1)
(1089,2,2)
(1090,8,25)
(1091,1,6)
(1092,5,4)
(1093,3,5)
(1094,3,6)
(1095,2,6)
(1096,2,2)
(1097,3,8)
(1098,1,6)
(1099,1,1)
(1100,1,1)
(1101,2,1)
(1102,3,6)
(1103,113,62)
(1104,4,5)
(1105,3,2)
(1106,3,5)
(1107,2,19)
(1108,1,2)
(1109,1,5)
(1110,48,11)
(1111,1,9)
(1112,3,4)
(1113,1,4)
(1114,1,6)
(1115,1,2)
(1116,14,23)
(1117,8,15)
(1118,2,2)
(1119,1,1)
(1120,2,3)
(1121,6,9)
(1122,0,1)
(1123,3,5)
(1124,3,20)
(1125,1,3)
(1126,1,5)
(1127,6,14)
(1128,1,1)
(1129,2,5)
(1130,1,35)
(1131,1,2)
(1132,0,1)
(1133,9,11)
(1134,2,6)
(1135,2,2)
(1136,2,2)
(1137,15,10)
(1138,2,2)
(1139,4,5)
(1140,2,4)
(1141,2,36)
(1142,1,19)
(1143,3,4)
(1144,3,4)
(1145,4,6)
(1146,4,4)
(1147,2,1)
(1148,14,30)
(1149,4,4)
(1150,4,7)
(1151,4,8)
(1152,1,1)
(1153,5,3)
(1154,6,13)
(1155,5,7)
(1156,0,6)
(1157,0,3)
(1158,2,3)
(1159,4,7)
(1160,1,5)
(1161,2,4)
(1162,1,1)
(1163,5,6)
(1164,4,14)
(1165,1,1)
(1166,7,3)
(1167,5,2)
(1168,2,4)
(1169,2,16)
(1170,1,1)
(1171,2,5)
(1172,9,5)
(1173,6,8)
(1174,0,11)
(1175,6,7)
(1176,2,2)
(1177,7,16)
(1178,2,9)
(1179,1,10)
(1180,2,3)
(1181,2,2)
(1182,1,18)
(1183,2,3)
(1184,5,9)
(1185,2,5)
(1186,4,5)
(1187,3,2)
(1188,5,23)
(1189,3,4)
(1190,6,4)
(1191,1,5)
(1192,1,5)
(1193,3,5)
(1194,1,8)
(1195,2,2)
(1196,3,2)
(1197,4,3)
(1198,5,9)
(1199,3,1)
(1200,2,2)
(1201,3,5)
(1202,2,11)
(1203,2,8)
(1204,13,13)
(1205,1,9)
(1206,3,5)
(1207,4,20)
(1208,2,2)
(1209,2,1)
(1210,2,2)
(1211,6,2)
(1212,2,5)
(1213,1,1)
(1214,2,2)
(1215,46,47)
(1216,3,2)
(1217,2,29)
(1218,2,2)
(1219,8,11)
(1220,3,3)
(1221,5,8)
(1222,1,36)
(1223,1,3)
(1224,6,2)
(1225,2,3)
(1226,3,8)
(1227,1,5)
(1228,3,5)
(1229,6,5)
(1230,1,36)
(1231,5,7)
(1232,2,1)
(1233,2,5)
(1234,3,3)
(1235,10,28)
(1236,1,1)
(1237,2,4)
(1238,2,4)
(1239,0,2)
(1240,1,6)
(1241,4,5)
(1242,1,1)
(1243,2,1)
(1244,2,1)
(1245,1,1)
(1246,2,10)
(1247,3,2)
(1248,4,5)
(1249,3,3)
(1250,5,4)
(1251,35,52)
(1252,3,3)
(1253,5,6)
(1254,2,3)
(1255,4,6)
(1256,1,51)
(1257,2,13)
(1258,1,1)
(1259,2,2)
(1260,4,4)
(1261,2,3)
(1262,3,3)
(1263,1,8)
(1264,4,5)
(1265,1,10)
(1266,0,4)
(1267,2,5)
(1268,4,2)
(1269,4,4)
(1270,1,2)
(1271,3,1)
(1272,2,2)
(1273,2,5)
(1274,0,2)
(1275,3,5)
(1276,0,99)
(1277,50,38)
(1278,2,6)
(1279,2,12)
(1280,1,1)
(1281,1,1)
(1282,4,5)
(1283,2,8)
(1284,1,3)
(1285,3,4)
(1286,2,5)
(1287,1,18)
(1288,6,2)
(1289,3,10)
(1290,7,2)
(1291,1,8)
(1292,1,28)
(1293,5,33)
(1294,1,6)
(1295,3,4)
(1296,1,3)
(1297,0,2)
(1298,6,2)
(1299,2,6)
(1300,5,3)
(1301,3,7)
(1302,2,5)
(1303,9,35)
(1304,12,12)
(1305,6,2)
(1306,1,1)
(1307,5,24)
(1308,2,3)
(1309,4,4)
(1310,29,28)
(1311,4,6)
(1312,2,30)
(1313,7,3)
(1314,0,2)
(1315,24,10)
(1316,2,4)
(1317,1,18)
(1318,3,3)
(1319,1,18)
(1320,120,8)
(1321,15,36)
(1322,1,10)
(1323,1,11)
(1324,1,10)
(1325,2,3)
(1326,2,4)
(1327,1,5)
(1328,17,33)
(1329,3,5)
(1330,2,5)
(1331,3,4)
(1332,4,22)
(1333,2,1)
(1334,3,2)
(1335,0,1)
(1336,1,2)
(1337,3,4)
(1338,1,5)
(1339,4,15)
(1340,2,4)
(1341,2,1)
(1342,7,3)
(1343,9,12)
(1344,11,9)
(1345,0,2)
(1346,0,1)
(1347,1,6)
(1348,2,2)
(1349,2,4)
(1350,2,2)
(1351,2,3)
(1352,5,19)
(1353,2,2)
(1354,1,11)
(1355,1,2)
(1356,0,16)
(1357,3,5)
(1358,15,10)
(1359,2,2)
(1360,0,1)
(1361,1,2)
(1362,25,1)
(1363,15,10)
(1364,2,5)
(1365,24,35)
(1366,2,1)
(1367,2,10)
(1368,1,2)
(1369,2,3)
(1370,5,8)
(1371,2,1)
(1372,7,23)
(1373,2,2)
(1374,9,25)
(1375,7,29)
(1376,2,6)
(1377,23,20)
(1378,3,6)
(1379,6,2)
(1380,11,20)
(1381,6,4)
(1382,7,18)
(1383,3,4)
(1384,1,1)
(1385,17,22)
(1386,5,6)
(1387,1,18)
(1388,2,3)
(1389,5,6)
(1390,4,10)
(1391,2,6)
(1392,1,5)
(1393,3,6)
(1394,2,1)
(1395,13,15)
(1396,0,1)
(1397,1,1)
(1398,1,2)
(1399,12,34)
(1400,24,34)
(1401,1,3)
(1402,18,8)
(1403,3,1)
(1404,2,21)
(1405,0,8)
(1406,1,3)
(1407,2,6)
(1408,1,8)
(1409,1,1)
(1410,12,10)
(1411,1,18)
(1412,4,4)
(1413,2,5)
(1414,3,5)
(1415,4,4)
(1416,4,3)
(1417,3,7)
(1418,6,2)
(1419,3,12)
(1420,2,2)
(1421,2,2)
(1422,3,8)
(1423,1,47)
(1424,3,6)
(1425,2,6)
(1426,1,6)
(1427,17,15)
(1428,3,16)
(1429,1,8)
(1430,3,2)
(1431,2,10)
(1432,33,5)
(1433,2,23)
(1434,3,2)
(1435,1,2)
(1436,1,12)
(1437,4,33)
(1438,11,11)
(1439,2,2)
(1440,5,3)
(1441,2,10)
(1442,3,4)
(1443,2,17)
(1444,1,2)
(1445,2,5)
(1446,0,8)
(1447,2,5)
(1448,1,1)
(1449,3,5)
(1450,2,36)
(1451,11,15)
(1452,1,15)
(1453,4,29)
(1454,0,36)
(1455,1,5)
(1456,5,3)
(1457,12,5)
(1458,15,10)
(1459,1,5)
(1460,1,1)
(1461,4,4)
(1462,5,8)
(1463,15,10)
(1464,1,3)
(1465,2,3)
(1466,15,10)
(1467,18,4)
(1468,1,5)
(1469,0,1)
(1470,3,3)
(1471,6,2)
(1472,6,7)
(1473,0,1)
(1474,3,3)
(1475,4,6)
(1476,6,2)
(1477,1,18)
(1478,3,4)
(1479,2,10)
(1480,3,4)
(1481,2,4)
(1482,1,8)
(1483,4,4)
(1484,0,1)
(1485,2,4)
(1486,32,9)
(1487,4,4)
(1488,1,2)
(1489,1,10)
(1490,1,5)
(1491,1,35)
(1492,2,3)
(1493,2,2)
(1494,4,4)
(1495,2,3)
(1496,1,5)
(1497,1,9)
(1498,0,1)
(1499,2,1)
(1500,16,16)
(1501,3,7)
(1502,2,5)
(1503,4,13)
(1504,2,5)
(1505,2,2)
(1506,3,53)
(1507,4,4)
(1508,3,11)
(1509,1,2)
(1510,1,8)
(1511,3,4)
(1512,9,26)
(1513,2,2)
(1514,7,14)
(1515,6,10)
(1516,4,6)
(1517,2,1)
(1518,2,5)
(1519,2,5)
(1520,3,5)
(1521,2,8)
(1522,89,4)
(1523,2,3)
(1524,2,2)
(1525,1,1)
(1526,2,4)
(1527,1,18)
(1528,1,1)
(1529,1,5)
(1530,1,1)
(1531,1,38)
(1532,3,2)
(1533,1,7)
(1534,2,5)
(1535,1,1)
(1536,3,2)
(1537,6,6)
(1538,1,5)
(1539,25,10)
(1540,1,1)
(1541,1,2)
(1542,10,44)
(1543,2,36)
(1544,3,2)
(1545,22,19)
(1546,4,10)
(1547,5,4)
(1548,1,1)
(1549,3,2)
(1550,1,5)
(1551,1,8)
(1552,1,8)
(1553,32,3)
(1554,55,10)
(1555,1,2)
(1556,5,16)
(1557,0,80)
(1558,2,3)
(1559,4,5)
(1560,0,2)
(1561,0,17)
(1562,23,20)
(1563,2,10)
(1564,3,5)
(1565,1,18)
(1566,0,8)
(1567,1,35)
(1568,1,3)
(1569,5,6)
(1570,4,4)
(1571,2,5)
(1572,0,2)
(1573,1,6)
(1574,7,26)
(1575,2,5)
(1576,0,1)
(1577,2,4)
(1578,5,17)
(1579,2,1)
(1580,2,32)
(1581,4,3)
(1582,4,3)
(1583,10,10)
(1584,4,14)
(1585,0,1)
(1586,5,4)
(1587,6,2)
(1588,2,3)
(1589,1,1)
(1590,158,45)
(1591,3,2)
(1592,2,5)
(1593,1,35)
(1594,0,5)
(1595,1,5)
(1596,2,3)
(1597,4,6)
(1598,2,2)
(1599,5,21)
(1600,1,2)
(1601,1,13)
(1602,1,1)
(1603,2,2)
(1604,2,2)
(1605,1,15)
(1606,11,11)
(1607,1,2)
(1608,3,6)
(1609,3,1)
(1610,3,6)
(1611,1,5)
(1612,1,5)
(1613,1,7)
(1614,1,5)
(1615,1,14)
(1616,3,4)
(1617,7,7)
(1618,2,2)
(1619,15,10)
(1620,1,18)
(1621,1,5)
(1622,1,3)
(1623,1,5)
(1624,4,4)
(1625,2,6)
(1626,4,4)
(1627,3,19)
(1628,1,5)
(1629,0,5)
(1630,3,5)
(1631,1,10)
(1632,7,3)
(1633,4,5)
(1634,4,10)
(1635,3,2)
(1636,4,7)
(1637,1,36)
(1638,8,9)
(1639,1,4)
(1640,2,3)
(1641,3,4)
(1642,15,10)
(1643,17,24)
(1644,1,10)
(1645,3,2)
(1646,2,3)
(1647,12,2)
(1648,2,2)
(1649,2,3)
(1650,15,10)
(1651,2,3)
(1652,12,17)
(1653,1,1)
(1654,1,10)
(1655,14,2)
(1656,0,2)
(1657,11,5)
(1658,7,3)
(1659,12,4)
(1660,0,6)
(1661,5,13)
(1662,27,28)
(1663,1,5)
(1664,3,4)
